iter	Passed	Remaining
321	752	1585
322	754	1580
323	755	1575
324	756	1571
325	757	1565
326	758	1561
327	759	1556
328	760	1551
329	761	1546
330	762	1541
331	763	1536
332	764	1531
333	765	1526
334	766	1521
335	767	1517
336	768	1512
337	769	1507
338	770	1502
339	771	1497
340	772	1492
341	773	1487
342	774	1482
343	775	1477
344	776	1474
345	777	1469
346	778	1465
347	779	1460
348	781	1457
349	782	1453
350	783	1448
351	784	1444
352	785	1439
353	786	1434
354	787	1430
355	788	1425
356	789	1421
357	789	1416
358	791	1412
359	792	1408
360	793	1403
361	793	1399
362	795	1395
363	795	1390
364	796	1386
365	797	1382
366	798	1377
367	799	1373
368	801	1369
369	802	1365
370	803	1361
371	804	1358
372	805	1354
373	806	1350
374	807	1345
375	808	1341
376	809	1337
377	810	1333
378	811	1329
379	812	1325
380	813	1321
381	814	1317
382	815	1313
383	816	1309
384	817	1305
385	818	1301
386	819	1297
387	820	1293
388	821	1290
389	822	1286
390	823	1282
391	824	1278
392	825	1274
393	826	1271
394	827	1267
395	828	1263
396	829	1260
397	830	1256
398	831	1252
399	832	1248
400	833	1245
401	834	1241
402	835	1237
403	836	1234
404	837	1230
405	838	1226
406	839	1222
407	840	1219
408	841	1215
409	842	1211
410	843	1208
411	844	1204
412	845	1201
413	846	1197
414	847	1194
415	848	1190
416	849	1187
417	850	1183
418	851	1180
419	852	1176
420	853	1173
421	854	1169
422	855	1166
423	856	1162
424	857	1159
425	858	1156
426	858	1152
427	859	1149
428	860	1145
429	862	1142
430	863	1139
431	864	1136
432	865	1133
433	866	1129
434	867	1126
435	868	1123
436	869	1119
437	870	1116
438	871	1113
439	872	1110
440	873	1107
441	874	1103
442	875	1100
443	876	1097
444	877	1094
445	878	1090
446	879	1087
447	880	1084
448	881	1081
449	882	1078
450	883	1076
451	885	1073
452	886	1070
453	887	1067
454	888	1064
455	889	1061
456	890	1058
457	891	1055
458	892	1052
459	893	1049
460	894	1046
461	896	1043
462	897	1040
463	898	1037
464	899	1034
465	900	1032
466	901	1028
467	902	1025
468	903	1023
469	904	1020
470	905	1017
471	906	1014
472	907	1011
473	908	1008
474	909	1005
475	911	1003
476	912	1000
477	913	997
478	913	994
479	915	991
480	916	988
481	917	985
482	918	983
483	919	980
484	920	977
485	921	974
486	922	972
487	923	969
488	924	966
489	926	963
490	927	960
491	927	958
492	928	955
493	930	952
494	931	950
495	932	947
496	933	944
497	934	941
498	935	939
499	936	936
500	937	933
501	938	931
502	939	928
503	940	925
504	941	922
505	942	920
506	943	917
507	944	914
508	945	912
509	946	909
510	947	906
511	948	904
512	949	901
513	950	898
514	951	896
515	952	893
516	953	891
517	954	888
518	955	885
519	956	883
520	957	880
521	958	877
522	959	875
523	960	872
524	961	870
525	962	867
526	963	864
527	964	862
528	965	859
529	966	857
530	967	854
531	968	852
532	969	849
533	970	847
534	972	844
535	973	842
536	974	839
537	975	837
538	976	834
539	977	832
540	978	829
541	979	828
542	980	825
543	981	823
544	982	820
545	984	818
546	985	815
547	986	813
548	987	811
549	988	809
550	989	806
551	990	804
552	991	801
553	992	799
554	994	797
555	995	794
556	996	792
557	997	789
558	998	787
559	999	785
560	1000	782
561	1001	780
562	1002	777
563	1003	775
564	1004	773
565	1005	770
566	1006	768
567	1007	766
568	1008	763
569	1009	761
570	1010	759
571	1011	756
572	1012	754
573	1013	752
574	1014	749
575	1015	747
576	1016	745
577	1017	742
578	1018	740
579	1019	738
580	1020	736
581	1021	733
582	1022	731
583	1023	729
584	1024	726
585	1025	724
586	1026	722
587	1027	720
588	1028	717
589	1032	717
590	1033	715
591	1034	713
592	1036	711
593	1037	709
594	1039	707
595	1040	705
596	1041	702
597	1042	700
598	1043	698
599	1044	696
600	1045	694
601	1046	692
602	1048	690
603	1049	687
604	1050	685
605	1051	683
606	1052	681
607	1053	679
608	1054	677
609	1055	674
610	1056	672
611	1057	670
612	1058	668
613	1060	666
614	1061	664
615	1062	662
616	1063	659
617	1064	657
618	1065	655
619	1066	653
620	1067	651
621	1068	649
622	1069	647
623	1070	644
624	1071	642
625	1072	640
626	1073	638
627	1074	636
628	1075	634
629	1076	632
630	1077	630
631	1078	628
632	1079	625
633	1080	623
634	1081	621
635	1082	619
636	1083	617
637	1084	615
638	1085	613
639	1086	611
640	1087	609
641	1088	607
642	1089	605
643	1090	603
644	1091	601
645	1092	598
646	1093	596
647	1094	594
648	1096	592
649	1097	590
650	1098	588
651	1099	586
652	1100	584
653	1101	582
654	1102	580
655	1103	578
656	1104	576
657	1105	574
658	1106	572
659	1107	570
660	1108	568
661	1109	566
662	1110	564
663	1111	562
664	1112	560
665	1113	558
666	1114	556
667	1115	554
668	1116	552
669	1117	550
670	1118	548
671	1119	546
672	1120	544
673	1121	542
674	1122	540
675	1123	538
676	1124	536
677	1125	534
678	1126	532
679	1127	530
680	1128	528
681	1129	526
682	1130	524
683	1131	522
684	1132	520
685	1133	518
686	1134	516
687	1135	514
688	1136	512
689	1137	510
690	1138	509
691	1139	507
692	1140	505
693	1141	503
694	1142	501
695	1143	499
696	1144	497
697	1145	495
698	1146	493
699	1147	491
700	1148	489
701	1149	487
702	1150	486
703	1151	484
704	1152	482
705	1153	480
706	1154	478
707	1155	476
708	1156	474
709	1157	472
710	1158	470
711	1159	469
712	1160	467
713	1161	465
714	1163	463
715	1164	461
716	1165	459
717	1166	458
718	1167	456
719	1168	454
720	1169	452
721	1170	450
722	1171	449
723	1172	447
724	1174	445
725	1175	443
726	1176	441
727	1177	439
728	1178	437
729	1179	436
730	1180	434
731	1181	432
732	1182	430
733	1183	428
734	1184	427
735	1185	425
736	1187	423
737	1188	421
738	1189	420
739	1190	418
740	1191	416
741	1192	414
742	1194	413
743	1195	411
744	1196	409
745	1197	407
746	1198	406
747	1199	404
748	1201	402
749	1202	400
750	1203	399
751	1204	397
752	1205	395
753	1206	393
754	1207	391
755	1209	390
756	1210	388
757	1211	386
758	1212	384
759	1213	383
760	1214	381
761	1215	379
762	1216	377
763	1217	376
764	1218	374
765	1219	372
766	1220	370
767	1221	369
768	1222	367
769	1223	365
770	1224	363
771	1225	362
772	1226	360
773	1227	358
774	1228	356
775	1230	355
776	1231	353
777	1232	351
778	1233	349
779	1234	348
780	1235	346
781	1236	344
782	1237	342
783	1238	341
784	1239	339
785	1240	337
786	1241	335
787	1242	334
788	1243	332
789	1244	330
790	1245	329
791	1246	327
792	1247	325
793	1248	323
794	1249	322
795	1250	320
796	1251	318
797	1252	317
798	1253	315
799	1254	313
800	1255	311
801	1256	310
802	1257	308
803	1258	306
804	1259	305
805	1265	304
806	1266	302
807	1268	301
808	1269	299
809	1270	298
810	1271	296
811	1273	294
812	1274	293
813	1275	291
814	1277	289
815	1278	288
816	1279	286
817	1280	284
818	1281	283
819	1282	281
820	1284	279
821	1285	278
822	1286	276
823	1287	275
824	1288	273
825	1289	271
826	1290	270
827	1291	268
828	1293	266
829	1294	265
830	1295	263
831	1297	261
832	1298	260
833	1299	258
834	1300	256
835	1301	255
836	1302	253
837	1303	252
838	1305	250
839	1307	248
840	1308	247
841	1309	245
842	1310	244
843	1312	242
844	1314	241
845	1315	239
846	1316	237
847	1317	236
848	1318	234
849	1320	233
850	1321	231
851	1323	229
852	1324	228
853	1325	226
854	1326	224
855	1327	223
856	1328	221
857	1329	220
858	1330	218
859	1331	216
860	1333	215
861	1335	213
862	1336	212
863	1337	210
864	1338	208
865	1339	207
866	1341	205
867	1343	204
868	1344	202
869	1345	201
870	1346	199
871	1348	197
872	1349	196
873	1350	194
874	1351	193
875	1352	191
876	1354	189
877	1355	188
878	1356	186
879	1357	185
880	1359	183
881	1360	181
882	1361	180
883	1362	178
884	1363	177
885	1364	175
886	1365	173
887	1366	172
888	1367	170
889	1368	169
890	1370	167
891	1371	166
892	1373	164
893	1374	163
894	1375	161
895	1376	159
896	1378	158
897	1379	156
898	1380	155
899	1381	153
900	1382	151
901	1383	150
902	1384	148
903	1385	147
904	1386	145
905	1387	143
906	1388	142
907	1389	140
908	1390	139
909	1391	137
910	1393	136
911	1394	134
912	1395	132
913	1396	131
914	1397	129
915	1398	128
916	1399	126
917	1400	125
918	1401	123
919	1402	121
920	1403	120
921	1404	118
922	1405	117
923	1406	115
924	1408	114
925	1409	112
926	1410	111
927	1411	109
928	1412	107
929	1413	106
930	1414	104
931	1416	103
932	1417	101
933	1418	100
934	1419	98
935	1420	97
936	1421	95
937	1422	94
938	1423	92
939	1424	90
940	1425	89
941	1426	87
942	1427	86
943	1428	84
944	1429	83
945	1430	81
946	1431	80
947	1432	78
948	1433	77
949	1434	75
950	1435	73
951	1437	72
952	1438	70
953	1439	69
954	1440	67
955	1441	66
956	1442	64
957	1443	63
958	1444	61
959	1445	60
960	1446	58
961	1447	57
962	1448	55
963	1449	54
964	1450	52
965	1452	51
966	1453	49
967	1453	48
968	1455	46
969	1456	45
970	1457	43
971	1458	42
972	1459	40
973	1460	38
974	1461	37
975	1462	35
976	1463	34
977	1464	32
978	1465	31
979	1466	29
980	1467	28
981	1468	26
982	1469	25
983	1470	23
984	1471	22
985	1472	20
986	1473	19
987	1474	17
988	1475	16
989	1476	14
990	1477	13
991	1478	11
992	1479	10
993	1480	8
994	1481	7
995	1482	5
996	1483	4
997	1484	2
998	1484	1
999	1485	0
